answer	predicted	pred_prob
-1	1	0.6405216335704899
-1	1	0.5336469161529501
1	1	0.684957023248036
1	-1	0.5379757077047782
1	1	0.6998070442209906
1	1	0.7762966417126509
1	-1	0.5032244068733721
-1	-1	0.7804381116937051
1	1	0.847528632471801
1	-1	0.5457859067882957
-1	-1	0.6683289208681973
1	1	0.6103842420868052
-1	-1	0.9169552987061634
1	1	0.868322305211289
-1	-1	0.6917457059983712
-1	-1	0.7182561700192462
1	1	0.6450939087689525
-1	-1	0.523991666110773
-1	-1	0.7461548301598886
-1	-1	0.6569770453950461
1	1	0.5594837550171059
-1	-1	0.5811491792959362
-1	-1	0.5290557138796742
-1	-1	0.6245761504230566
-1	-1	0.5705728633716447
-1	-1	0.5637444197598016
1	1	0.5292235577814939
-1	-1	0.7011191551268012
-1	-1	0.6881246708607229
-1	-1	0.7115129446498836
1	1	0.6562606611207178
1	1	0.5157898533280889
1	1	0.7257979863764172
1	1	0.83640140813365
1	1	0.6476709487888949
-1	-1	0.7062030483671375
-1	-1	0.6817337286272384
1	1	0.5350029616728008
1	1	0.5995129056680205
1	-1	0.7616398681685951
1	1	0.7242807243686991
1	1	0.653032536592502
-1	-1	0.5282592688489461
-1	-1	0.5515276583781643
-1	-1	0.7923548214314287
-1	-1	0.6259572630721286
1	-1	0.5756621863725289
1	1	0.7402618878627164
-1	-1	0.928650273073642
-1	-1	0.5084267253053452
-1	1	0.5621339905549978
-1	-1	0.7466154524578243
-1	-1	0.7977259552634764
1	1	0.7356839894565371
1	1	0.6216534624882947
-1	-1	0.8467249583797284
-1	-1	0.6133572060510906
-1	1	0.5237141377525839
1	1	0.5821028985912869
-1	-1	0.7915661458422741
-1	-1	0.5954223994781108
-1	-1	0.6129520437109652
-1	-1	0.6372873146081666
1	1	0.8982010784421766
1	1	0.8448932614269912
-1	-1	0.7094751860431929
-1	-1	0.611332135184067
-1	-1	0.6512425845408014
1	1	0.8632928831307898
-1	-1	0.7702327497478672
1	1	0.6243558758951657
1	1	0.7743122418926196
1	-1	0.5388613242969398
-1	1	0.666857669753029
1	-1	0.5953555008569471
-1	-1	0.8199798776966803
-1	-1	0.6881432945507837
1	1	0.643472410633517
-1	-1	0.7363553159740813
-1	1	0.5449433834275479
-1	-1	0.69726353266565
1	1	0.5854972272527745
1	1	0.7499618756387018
1	1	0.6833373874489914
1	1	0.6139579603934805
1	1	0.8028432782105466
-1	-1	0.8137134229772149
1	1	0.862998110614836
-1	-1	0.6215926317708327
1	1	0.8448169193975067
1	1	0.7947827089048997
-1	-1	0.7581157780138794
-1	-1	0.6008394687007163
-1	-1	0.6363964468952352
1	1	0.7896575474775676
-1	-1	0.8131981426730268
1	1	0.6426197488977393
1	1	0.6621183119641879
1	1	0.8771970899410277
1	1	0.6909709660837653
1	1	0.5125475776616949
1	-1	0.5811224618372728
1	1	0.6565324033009422
-1	-1	0.8688450666086955
1	1	0.6248052982340757
-1	-1	0.724823716420307
1	1	0.5164728673906379
-1	-1	0.7055745761388662
1	1	0.6401409019026398
-1	-1	0.6736834906350695
-1	-1	0.5949271156433824
-1	-1	0.6995579778426977
-1	-1	0.5443429702806175
1	1	0.6621387654136741
-1	-1	0.6225629214024452
1	1	0.5216842819909131
-1	-1	0.6766855738224735
1	1	0.760558075492125
