word1,word2,human,W2V
love,sex,6.77,0.48897022008895874
tiger,cat,7.35,0.7160777449607849
tiger,tiger,10.0,1.0
book,paper,7.46,0.5071678757667542
computer,keyboard,7.62,0.550646960735321
computer,internet,7.58,0.6141799688339233
plane,car,5.77,0.4873447120189667
train,car,6.31,0.6109594106674194
telephone,communication,7.5,0.5559662580490112
television,radio,6.77,0.7657185196876526
media,radio,7.42,0.5657148957252502
drug,abuse,6.85,0.5901989340782166
bread,butter,6.19,0.8046891689300537
cucumber,potato,5.92,0.0
doctor,nurse,7.0,0.7184303402900696
professor,doctor,6.62,0.5514321327209473
student,professor,6.81,0.4893468916416168
smart,student,4.62,0.302828848361969
smart,stupid,5.81,0.6689878106117249
company,stock,7.08,0.6420918703079224
stock,market,8.08,0.6453280448913574
stock,phone,1.62,0.32390090823173523
stock,CD,1.31,0.26549944281578064
stock,jaguar,0.92,0.0
stock,egg,1.81,0.349884957075119
fertility,egg,6.69,0.4469721019268036
stock,live,3.73,0.06600283086299896
stock,life,0.92,0.27932265400886536
book,library,7.46,0.4150153398513794
bank,money,8.12,0.48890751600265503
wood,forest,7.73,0.478946328163147
money,cash,9.15,0.7124050855636597
professor,cucumber,0.31,0.0
king,cabbage,0.23,0.20440664887428284
king,queen,8.58,0.7585838437080383
king,rook,5.92,0.5742770433425903
bishop,rabbi,6.69,0.6143697500228882
Jerusalem,Israel,8.46,0.6421291828155518
Jerusalem,Palestinian,7.65,0.5263208150863647
holy,sex,1.62,0.3060448467731476
fuck,sex,9.44,0.4310838282108307
Maradona,football,8.62,0.5608469247817993
football,soccer,9.03,0.8344504237174988
football,basketball,6.81,0.8319839835166931
football,tennis,6.63,0.6670015454292297
tennis,racket,7.56,0.0
Arafat,peace,6.73,0.45531266927719116
Arafat,terror,7.65,0.4473437964916229
Arafat,Jackson,2.5,0.5146477222442627
law,lawyer,8.38,0.5909653902053833
movie,star,7.38,0.5679581761360168
movie,popcorn,6.19,0.4323524832725525
movie,critic,6.73,0.44945061206817627
movie,theater,7.92,0.5835726261138916
physics,proton,8.12,0.4594971239566803
physics,chemistry,7.35,0.8204741477966309
space,chemistry,4.88,0.3664380609989166
alcohol,chemistry,5.54,0.36580970883369446
vodka,gin,8.46,0.7077205181121826
vodka,brandy,8.13,0.8031249046325684
drink,car,3.04,0.3138628900051117
drink,ear,1.31,0.30588629841804504
drink,mouth,5.96,0.3735896944999695
drink,eat,6.87,0.7811155319213867
baby,mother,7.85,0.6711066961288452
drink,mother,2.65,0.4233115315437317
car,automobile,8.94,0.7112030386924744
gem,jewel,8.96,0.5887711048126221
journey,voyage,9.29,0.7492063045501709
boy,lad,8.83,0.7529321908950806
coast,shore,9.1,0.788591206073761
asylum,madhouse,8.87,0.0
magician,wizard,9.02,0.7184812426567078
midday,noon,9.29,0.8486854434013367
furnace,stove,8.79,0.7736960649490356
food,fruit,7.52,0.6766806244850159
bird,cock,7.1,0.5457913875579834
bird,crane,7.38,0.49999672174453735
tool,implement,6.46,0.5683179497718811
brother,monk,6.27,0.4436700940132141
crane,implement,2.69,0.24187573790550232
lad,brother,4.46,0.5157329440116882
journey,car,5.85,0.30934837460517883
monk,oracle,5.0,0.5359770655632019
cemetery,woodland,2.08,0.45308810472488403
food,rooster,4.42,0.4992311894893646
coast,hill,4.38,0.5531910061836243
forest,graveyard,1.85,0.4142959415912628
shore,woodland,3.08,0.49742770195007324
monk,slave,0.92,0.4898362457752228
coast,forest,3.15,0.4405953288078308
lad,wizard,0.92,0.8118358850479126
chord,smile,0.54,0.4843648672103882
glass,magician,2.08,0.40359437465667725
noon,string,0.54,0.27640214562416077
rooster,voyage,0.62,0.3125595450401306
money,dollar,8.42,0.5180836915969849
money,cash,9.08,0.7124050855636597
money,currency,9.04,0.5021526217460632
money,wealth,8.27,0.6619349718093872
money,property,7.57,0.5676441788673401
money,possession,7.29,0.3363037109375
money,bank,8.5,0.48890751600265503
money,deposit,7.73,0.6356238126754761
money,withdrawal,6.88,0.26211678981781006
money,laundering,5.65,0.6699241995811462
money,operation,3.31,0.2938354015350342
tiger,jaguar,8.0,0.0
tiger,feline,8.0,0.6460954546928406
tiger,carnivore,7.08,0.0
tiger,mammal,6.85,0.5313680768013
tiger,animal,7.0,0.5977636575698853
tiger,organism,4.77,0.39962053298950195
tiger,fauna,5.62,0.48863673210144043
tiger,zoo,5.87,0.5586658120155334
psychology,psychiatry,8.08,0.7565342783927917
psychology,anxiety,7.0,0.5611822605133057
psychology,fear,6.85,0.2684410512447357
psychology,depression,7.42,0.3937293589115143
psychology,clinic,6.58,0.46904900670051575
psychology,doctor,6.42,0.5067861676216125
psychology,Freud,8.21,0.5829018950462341
psychology,mind,7.69,0.4901297986507416
psychology,health,7.23,0.5239453315734863
psychology,science,6.71,0.7285443544387817
psychology,discipline,5.58,0.6611468195915222
psychology,cognition,7.48,0.7371429204940796
planet,star,8.45,0.5903160572052002
planet,constellation,8.06,0.6844274401664734
planet,moon,8.08,0.7653141021728516
planet,sun,8.02,0.6363431215286255
planet,galaxy,8.11,0.7340720295906067
planet,space,7.92,0.46888312697410583
planet,astronomer,7.94,0.25855752825737
precedent,example,5.85,0.3995853066444397
precedent,information,3.85,0.3828573226928711
precedent,cognition,2.81,0.4704471230506897
precedent,law,6.65,0.6251437067985535
precedent,collection,2.5,0.33986595273017883
precedent,group,1.77,0.2633381187915802
precedent,antecedent,6.04,0.0
cup,coffee,6.58,0.4755774140357971
cup,tableware,6.85,0.514945387840271
cup,article,2.4,0.10746412724256516
cup,artifact,2.92,0.20086169242858887
cup,object,3.69,0.259583979845047
cup,entity,2.15,0.2991616427898407
cup,drink,7.25,0.4145437479019165
cup,food,5.0,0.3651960492134094
cup,substance,1.92,0.24718166887760162
cup,liquid,5.9,0.2923610210418701
jaguar,cat,7.42,0.0
jaguar,car,7.27,0.0
energy,secretary,1.81,0.2134280949831009
secretary,senate,5.06,0.49650678038597107
energy,laboratory,5.09,0.4158218502998352
computer,laboratory,6.78,0.5831363797187805
weapon,secret,6.06,0.4623965919017792
FBI,fingerprint,6.94,0.43995705246925354
FBI,investigation,8.31,0.6251246333122253
investigation,effort,4.59,0.36930176615715027
Mars,water,2.94,0.2800719141960144
Mars,scientist,5.63,0.4020523130893707
news,report,8.16,0.5203747153282166
canyon,landscape,7.53,0.47429588437080383
image,surface,4.56,0.4789404571056366
discovery,space,6.34,0.3288491368293762
water,seepage,6.56,0.0
sign,recess,2.38,0.46584221720695496
Wednesday,news,2.22,0.45776647329330444
mile,kilometer,8.66,0.694382905960083
computer,news,4.47,0.35850128531455994
territory,surface,5.34,0.3186527192592621
atmosphere,landscape,3.69,0.4939337372779846
president,medal,3.0,0.2992161810398102
war,troops,8.13,0.5879380702972412
record,number,6.31,0.24357359111309052
skin,eye,6.22,0.6028534173965454
Japanese,American,6.5,0.5528767108917236
theater,history,3.91,0.2586292624473572
volunteer,motto,2.56,0.2847367227077484
prejudice,recognition,3.0,0.4658944308757782
decoration,valor,5.63,0.5426530241966248
century,year,7.59,0.33394989371299744
century,nation,3.16,0.3855401575565338
delay,racism,1.19,0.17644955217838287
delay,news,3.31,0.3151824176311493
minister,party,6.63,0.45448702573776245
peace,plan,4.75,0.4382994472980499
minority,peace,3.69,0.3918199837207794
attempt,peace,4.25,0.3304159641265869
government,crisis,6.56,0.542617917060852
deployment,departure,4.25,0.3461413085460663
deployment,withdrawal,5.88,0.5888269543647766
energy,crisis,5.94,0.4119878113269806
announcement,news,7.56,0.5590531826019287
announcement,effort,2.75,0.30540961027145386
stroke,hospital,7.03,0.3683105409145355
disability,death,5.47,0.42674019932746887
victim,emergency,6.47,0.38506653904914856
treatment,recovery,7.91,0.6632624864578247
journal,association,4.97,0.4268685579299927
doctor,personnel,5.0,0.28971126675605774
doctor,liability,5.19,0.2880479395389557
liability,insurance,7.03,0.7918835878372192
school,center,3.44,0.31489911675453186
reason,hypertension,2.31,0.3671814501285553
reason,criterion,5.91,0.709221363067627
hundred,percent,7.38,0.35104238986968994
Harvard,Yale,8.13,0.8504480123519897
hospital,infrastructure,4.63,0.2804727256298065
death,row,5.25,0.3778720498085022
death,inmate,5.03,0.566058337688446
lawyer,evidence,6.69,0.2642381489276886
life,death,7.88,0.4699832797050476
life,term,4.5,0.2520134449005127
word,similarity,4.75,0.45759618282318115
board,recommendation,4.47,0.49229320883750916
governor,interview,3.25,0.10854466259479523
OPEC,country,5.63,0.0
peace,atmosphere,3.69,0.3431941568851471
peace,insurance,2.94,0.26286256313323975
territory,kilometer,5.28,0.38844799995422363
travel,activity,5.0,0.3164274990558624
competition,price,6.44,0.3681057393550873
consumer,confidence,4.13,0.34246113896369934
consumer,energy,4.75,0.5124908685684204
problem,airport,2.38,0.38526636362075806
car,flight,4.94,0.38620948791503906
credit,card,8.06,0.5471514463424683
credit,information,5.31,0.4552055597305298
hotel,reservation,8.03,0.33013251423835754
grocery,money,5.94,0.4240824282169342
registration,arrangement,6.0,0.37770864367485046
arrangement,accommodation,5.41,0.4269023835659027
month,hotel,1.81,0.306838721036911
type,kind,8.97,0.6095629334449768
arrival,hotel,6.0,0.35575708746910095
bed,closet,6.72,0.6790448427200317
closet,clothes,8.0,0.6807317733764648
situation,conclusion,4.81,0.48707589507102966
situation,isolation,3.88,0.5080237984657288
impartiality,interest,5.16,0.0
direction,combination,2.25,0.39928653836250305
street,place,6.44,0.3673018515110016
street,avenue,8.88,0.6005784869194031
street,block,6.88,0.453578382730484
street,children,4.94,0.24151292443275452
listing,proximity,2.56,0.23621319234371185
listing,category,6.38,0.41800007224082947
cell,phone,7.81,0.47138819098472595
production,hike,1.75,0.2778630554676056
benchmark,index,4.25,0.5679519176483154
media,trading,3.88,0.31345775723457336
media,gain,2.88,0.31197884678840637
dividend,payment,7.63,0.7219406366348267
dividend,calculation,6.48,0.70192551612854
calculation,computation,8.44,0.8289538025856018
currency,market,7.5,0.6113951802253723
OPEC,oil,8.59,0.0
oil,stock,6.34,0.5860460996627808
announcement,production,3.38,0.3316797614097595
announcement,warning,6.0,0.5098392963409424
profit,warning,3.88,0.2771831452846527
profit,loss,7.63,0.37818703055381775
dollar,yen,7.78,0.573673665523529
dollar,buck,9.22,0.303219199180603
dollar,profit,7.38,0.6221464276313782
dollar,loss,6.09,0.2548099756240845
computer,software,8.5,0.8066381216049194
network,hardware,8.31,0.5672300457954407
phone,equipment,7.13,0.30951589345932007
equipment,maker,5.91,0.4665602147579193
luxury,car,6.47,0.5238319039344788
five,month,3.38,0.4192562401294708
report,gain,3.63,0.18916621804237366
investor,earning,7.13,0.24901627004146576
liquid,water,7.89,0.6472625732421875
baseball,season,5.97,0.5303648710250854
game,victory,7.03,0.49955427646636963
game,team,7.69,0.6239694952964783
marathon,sprint,7.47,0.7064536809921265
game,series,6.19,0.5424349308013916
game,defeat,6.97,0.4553566575050354
seven,series,3.56,0.3994346857070923
seafood,sea,7.47,0.40273401141166687
seafood,food,8.34,0.6976383924484253
seafood,lobster,8.7,0.8252665996551514
lobster,food,7.81,0.664965033531189
lobster,wine,5.7,0.6216409802436829
food,preparation,6.22,0.5201749801635742
video,archive,6.34,0.5754075646400452
start,year,4.06,0.317101389169693
start,match,4.47,0.37426087260246277
game,round,5.97,0.4734035134315491
boxing,round,7.61,0.3790479898452759
championship,tournament,8.36,0.7606368064880371
fighting,defeating,7.41,0.35687798261642456
line,insurance,2.69,0.17513537406921387
day,summer,3.94,0.3957762122154236
summer,drought,7.16,0.48284026980400085
summer,nature,5.63,0.20695219933986664
day,dawn,7.53,0.5502665042877197
nature,environment,8.31,0.6730989217758179
environment,ecology,8.81,0.6497476100921631
nature,man,6.25,0.3187544345855713
man,woman,8.3,0.7956745028495789
man,governor,5.25,0.3165600001811981
murder,manslaughter,8.53,0.7026221752166748
soap,opera,7.94,0.7438377141952515
opera,performance,6.88,0.37878653407096863
life,lesson,5.94,0.40845367312431335
focus,life,4.06,0.3797660171985626
production,crew,6.25,0.328763484954834
television,film,7.72,0.6222326755523682
lover,quarrel,6.19,0.6659649610519409
viewer,serial,2.97,0.4107697904109955
possibility,girl,1.94,0.33580294251441956
population,development,3.75,0.33421358466148376
morality,importance,3.31,0.5203115344047546
morality,marriage,3.69,0.5163515210151672
Mexico,Brazil,7.44,0.6801416873931885
gender,equality,6.41,0.6569449305534363
change,attitude,5.44,0.4858475923538208
family,planning,6.25,0.2919943928718567
opera,industry,2.63,0.30259451270103455
sugar,approach,0.88,0.10614509880542755
practice,institution,3.19,0.5335345268249512
ministry,culture,4.69,0.42281630635261536
problem,challenge,6.75,0.5619576573371887
size,prominence,5.31,0.27130571007728577
country,citizen,7.31,0.420835942029953
planet,people,5.75,0.26210132241249084
development,issue,3.97,0.2906762361526489
experience,music,3.47,0.36514759063720703
music,project,3.63,0.33992981910705566
glass,metal,5.56,0.6503663659095764
aluminum,metal,7.83,0.7324672341346741
chance,credibility,3.88,0.5330342650413513
